symptoms,label
vaginal bleeding abdominal cramp iron pelvic pain,Threatened Pregnancy
for a few days recurrent episodes of binge eating followed by purging behaviors,Bulimia Nervosa
pain diarrhea nutrient fatigue minerals failure to weight bloating chronic loss abdominal thrive deficiencies or vitamins,Intestinal Malabsorption
elevated intraocular pressure without optic nerve damage,Ocular Hypertension
persistent feelings of sadness emptiness or hopelessness frequent crying irritability loss of interest or pleasure in activities difficulty bonding with the baby changes in appetite or sleep patterns overwhelming fatigue feelings of guilt or worthlessness trouble concentrating or making decisions thoughts of self harm or harming the baby,Postpartum Depression
raised itchy welts on the skin noticed after exercise,Urticaria (Hives)
severe and persistent pain changes in skin color or temperature swelling stiffness constant,Complex Regional Pain Syndrome (CRPS)
frequent urinary tract infections urinary urgency or frequency bedwetting in children high blood pressure in severe cases started after cold,Vesicoureteral Reflux
absence or undescended testicle s empty scrotum smaller or underdeveloped testicle s inguinal hernia abnormal positioning of the testicle s higher in the groin area,Cryptorchidism
severe abdominal pain bloody stools diarrhea nausea vomiting fever rapid heart rate low blood pressure mild,Ischemia of the Bowel
small lump or swelling in the vaginal wall soreness or pain during intercourse,Vaginal Cyst
tingling numbness and pain in the hand and fingers,Carpal Tunnel Syndrome
vaginal bleeding abdominal pain or cramping shoulder pain if the fallopian tube ruptures constant,Ectopic Pregnancy
swelling visible or bulge discomfort or pain,Abdominal Hernia
neck pain stiffness and abnormal head positioning intermittent,Torticollis
shortness of breath cough wheezing fatigue chest discomfort or tightness mild,Pulmonary Congestion
challenges with social interaction communication difficulties restricted interests or repetitive behaviors worse at night,Autism
fever fatigue body aches heart and digestive problems intermittent,Chagas Disease
developmental delays intellectual disability distinct facial nerve features small jaw low set ears heart defects,Edward Syndrome
chest pain sharp and stabbing aggravate with deep breaths or lying down fever,Pericarditis
high blood pressure proteinuria swelling headaches visual disturbances,Preeclampsia
obsessive focus on clean run through healthy food choices,Orthorexia Nervosa
severe eye pain blurred vision halos around lights,Acute Glaucoma
for a few days chronic back pain and stiffness especially in the morning or after periods of inactivity limited range of motion in the spine fatigue inflammation and pain in other joints such as hips shoulders knees discomfort or pain in the neck difficulty maintaining proper posture tenderness or swelling in affected areas tingling or numbness in extremities in severe cases,Spondylitis
persistent sore throat difficulty swallowing voice changes ear pain neck mass weight loss fever present,Head and Neck Cancer
facial pain or pressure nasal congestion thick pinched discharge post nasal drip cough headache fatigue fever in some cases,Acute Sinusitis
ear the pain the pain infants hearing ear in swelling the or protrusion touching headache area and of and ear area when impaired redness ear of or pus swelling drainage fever hearing irritability fluid or the loss tenderness bone earache young or behind or children ear from particularly the mastoid the behind,Mastoiditis
hoarseness vocal shift vocal fatigue,Vocal cord polyp
fatigue shortness of breath pectus pain or discomfort heart palpitations fainting or lightheadedness swollen legs or ankles,Pulmonic Valve Disease
chronic constipation abdominal distension failure to pass meconium in newborns,Hirschsprung Disease
peripheral of loss vision vision gradual tunnel,Open-Angle Glaucoma
eye pain redness foreign body sensation sensitivity to light,Corneal Abrasion
severe the trouble one typically side understanding speaking face or confusion the numbness or or weakness on arm of headache leg body sudden of,Stroke
tremors stiffness slowness of movement,Parkinson Disease
the or warmth wound from tenderness pus wound redness at drainage the malaise fever or pain site swelling,Infection of Open Wound
heart rash pain inflammation fever joint,Chronic Rheumatic Fever
painless lump or swelling facial changes,Pleomorphic adenoma
some nasal fever drip fatigue discharge cough cases post headache facial nasal congestion pressure nasal in thick or pain,Acute Sinusitis
depends on the specific cranial nerve involved symptoms can include vision changes eye movement abnormalities facial weakness or paralysis difficulty swallowing or speaking loss of sensation in the face or early areas,Cranial Nerve Palsy
fever chest pain productive cough with distasteful smelling or bloody sputum,Empyema
parotid salivary glands fever fatigue swollen usually headache,Mumps
difficulty sleepiness irritability falling asleep concentrating daytime difficulty staying asleep or,Primary Insomnia
pain rapid difficulty breathing breathing chest,Atelectasis
joint pain stiffness swelling fatigue loss of appetite for a few days,Rheumatoid Arthritis
high blood pressure during pregnancy,Pregnancy-Induced Hypertension
red scaly plot of ground on the skin itching,Psoriasis
shooting or burning pain tingling or numbness improved with rest,Neuropathic Pain
heaviness movement discomfort bowel pain during intercourse pelvic difficulties or pressure incontinence or urinary,Pelvic Organ Prolapse
or fatigue frequent bleeding infections bruising easy,Myelodysplastic Syndrome
joint pain severeness swelling,Osteoarthritis
easy or excessive bruising prolonged or excessive bleeding from cuts or injuries patronise nosebleeds heavy or prolonged menstrual periods bleeding gums blood in urine or stool,Von Willebrand Disease
worse at night irregular periods excessive hair growth acne weight gain ovarian cysts,Polycystic Ovarian Syndrome
pain swelling bruising deformity difficulty moving red ink of function,Fracture
swollen salivary secretor usually parotid fever headache fatigue,Mumps
join swelling pain warmth limited range of motion,Hemarthrosis
shortness of breath wheezing chronic cough chest tightness fatigue exercising weight loss,Emphysema
abdominal or flank pain blood in urine frequent urination mild,Benign Kidney Cyst
floaters in vision blurry vision eye botheration,Vitreous Hemorrhage
fatigue weakness shortness of breath pale skin moderate,Anemia due to Malignancy
excessive bleeding and bruising extend bleeding from wounds or after dental work or surgery spontaneous bleeding in joints or muscles,Hemophilia
itchy red rash caused by physical contact with irritants or allergens,Contact Dermatitis
difficulty muscle weakness fatigue speaking,Myasthenia Gravis
tract abdominal infections urinary difficulty stream or poor or urgency frequency urinary poor gain urinary distension weight,Urethral Valves
fever chills back or flank pain frequent urination,Pyelonephritis
memory cognitive joint difficulties anemia children pain loss developmental abdominal pain or in delays fatigue,Lead Poisoning
worse at night persistent cough with yellow or green mucus chest congestion fatigue,Bronchitis
intermittent fatigue weakness pale skin shortness of breath tingling or numbness in the hands and feet balance problems sore tongue,Vitamin B12 Deficiency
excessive weight increased body of chronic risk conditions,Obesity
pain swelling redness discharge from the nose moderate,Abscess of Nose
swelling of the scrotum worse in morning,Hydrocele of the Testicle
muscle pain and stiffness joint pain fatigue,Polymyalgia Rheumatica
mar memory and cognition altered judgment anxiety,Marijuana Abuse
wheezing shortness of breath chest tightness,Acute Bronchospasm
itchy skin particularly on the work force and feet,Gestational Cholestasis
enlarged thyroid secretory organ in the neck swelling or visible protrusion difficulty swallowing or breathing,Goiter
shortness of breath dry cough fatigue since this morning,Pulmonary Fibrosis
mood swings bloating breast tenderness irritability,Premenstrual Tension Syndrome
or arms in legs swelling feeling tightness of heaviness or,Lymphedema
